id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
NEAR,NEAR,NEAR,Near Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/NEAR.jpg,active,4.67189133,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,751093478,1000000000,3509027111,0.0032,93,223,227,2020-09-27T00:00:00Z,2020-10-14T00:00:00Z,2020-09-30T00:00:00Z,27,1,20.26210039,2022-01-14T00:00:00Z,478847541.55,0.42942743,0.1012,47639778.99,0.1105,325160778.91,0.1021,,2020-10-28T18:45:07.594685Z
LINK,LINK,LINK,ChainLink,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LINK.jpg,active,7.46533059,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,469599970,1000000000,3505719024,0.0031,290,3533,66,2017-07-09T00:00:00Z,2017-09-28T00:00:00Z,2018-08-29T00:00:00Z,28,-1,52.35800093,2021-05-09T00:00:00Z,502387939.93,0.33366279,0.0468,-143906000.90,-0.2227,156688034.60,0.0468,ETH,
ATOM,ATOM,ATOM,Cosmos,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/atom.jpg,active,10.44167781,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,292586164,,3055090455,0.0027,139,497,119,2017-07-09T00:00:00Z,2019-04-22T00:00:00Z,2019-03-14T00:00:00Z,29,1,44.14918680,2021-09-19T00:00:00Z,333595023.64,0.51016039,0.0514,-63711886.80,-0.1604,149265871.66,0.0514,,
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.11599032,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,25170466230,50001787631,2919530532,0.0026,205,699,113,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,30,1,0.89931720,2018-01-03T00:00:00Z,177064661.70,0.0017249445,0.0151,-50132389.09,-0.2207,43418599.04,0.0151,XLM,
XMR,XMR,XMR,Monero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmr.svg,active,158.78272112,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,18147820,,2881560302,0.0026,149,585,126,2014-05-19T00:00:00Z,2014-05-19T00:00:00Z,2018-08-29T00:00:00Z,31,-2,484.66720908,2021-05-09T00:00:00Z,216777598.26,-1.67404714,-0.0104,-254094466.71,-0.5396,-30380306.75,-0.0104,,
BCH,BCH,BCH,Bitcoin Cash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BCH.png,active,137.56062550,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,19135756,21000000,2632326585,0.0024,311,2542,136,2017-07-09T00:00:00Z,2017-07-27T00:00:00Z,2018-08-29T00:00:00Z,32,0,3717.49802158,2017-12-20T00:00:00Z,728640968.35,4.61240271,0.0347,-77840369.37,-0.0965,88385621.62,0.0347,,
APE7,APE7,APE,ApeCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/APE7.jpeg,active,7.59375337,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,306875000,1000000000,2330333064,0.0021,86,160,4,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,2022-03-17T00:00:00Z,33,1,23.75005469,2022-04-28T00:00:00Z,1259492077.16,0.81741706,0.1206,248445950.98,0.2457,250844861.66,0.1206,ETH,2022-03-17T16:40:56.703528Z
ALGO,ALGO,ALGO,Algorand,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ALGO.png,active,0.33313478,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,6949417219,10000000000,2315092542,0.0021,120,286,29,2019-06-19T00:00:00Z,2019-06-21T00:00:00Z,2019-06-19T00:00:00Z,34,-1,2.94272813,2019-06-19T00:00:00Z,250253218.30,0.0092783032,0.0286,-84341461.64,-0.2521,64557947.58,0.0287,,
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.029815827,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,72511146418,85985041177,2161979770,0.0019,86,230,2,2018-07-13T00:00:00Z,2018-07-13T00:00:00Z,2018-08-29T00:00:00Z,35,1,0.25434551,2021-04-18T00:00:00Z,351453845.85,0.0018580968,0.0665,20054390.58,0.0605,134732731.93,0.0665,,
FIL,FIL,FIL,Filecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FIL.png,active,8.26793603,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,252366588,2000000000,2086550806,0.0019,117,401,1,2017-11-03T00:00:00Z,2017-11-23T00:00:00Z,2019-06-04T00:00:00Z,36,-1,190.86191447,2021-03-31T00:00:00Z,816448760.64,0.062488446,0.0076,-739296740.04,-0.4752,18733565.68,0.0091,,
